drink_id,name,description,category,price_tier,sweetness_level,caffeine_content,sugar_content,calorie_content,image_url,is_alcoholic,alcohol_content,safety_flags,created_at,updated_at
1,Margarita,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:42:07.414573,2025-12-04 20:42:07.414579
2,Blue Margarita,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:42:07.447284,2025-12-04 20:42:07.447288
3,Tommy's Margarita,Shake and strain into a chilled cocktail glass.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:42:07.458487,2025-12-04 20:42:07.45849
4,Whitecap Margarita,Place all ingredients in a blender and blend until smooth. This makes one drink.,Other / Unknown,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:42:07.466998,2025-12-04 20:42:07.467002
5,Strawberry Margarita,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:42:07.474711,2025-12-04 20:42:07.474714
7,Margarita,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.167156,2025-12-04 20:47:08.167163
8,Blue Margarita,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.184938,2025-12-04 20:47:08.184942
9,Tommy's Margarita,Shake and strain into a chilled cocktail glass.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.194073,2025-12-04 20:47:08.194078
10,Whitecap Margarita,Place all ingredients in a blender and blend until smooth. This makes one drink.,Other / Unknown,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.203276,2025-12-04 20:47:08.203281
11,Strawberry Margarita,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.21189,2025-12-04 20:47:08.211895
